Vase.godine,Pol,Mjesto.prebivalista,Stepen.obrazovanja,Radni.odnos,Sektor.zaposlenja,Posjedovanje.ZO,Mjesecna.primanja,Stanarina,Prije.izdaciHrana,Trenutno.izdaciHrana,Potrosacki.kredit,Potencijalno.potrosackiKredit,Trajanje.mjera,Odnos.premaAkcijama,Poteskoce.nabavka,Uvid.podaci,Nadzor,Egzistencija,Novcana.pomoc,Uvjesti.mjere,Zdravstveni.kapaciteti,Internet.prije,Internet.sad,Redovno.informisanje,Uticaj.karantin,Nova.vjestina,Postovanje.mjera
35-44,Muski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,101-200€,101-200€,Ne,Ne,1-2 mjeseca,Nezadovoljan/a sam,Da,Ne,Da,Ne,Ne,Ne,Ne,5h+,5h+,Da,Ne utice na mene,Da,Da
35-44,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",0-100€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Ne,Da,Da,1-3h,3-5h,Da,Utice pozitivno,Da,Da
35-44,Muski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 101-300€",201-300€,300€+,Ne,Ne,1-2 mjeseca,Nezadovoljan/a sam,Da,Ne,Ne,Da,Da,Ne,Ne,0-1h,5h+,Da,Ne utice na mene,Ne,Da
35-44,Zenski,Herceg Novi,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,900€+,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Ne,Ne,Ne,1-3h,0-1h,Ne,Ne utice na mene,Da,Da
25-34,Muski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Da,Ne,Ne,Da,Ne,3-5h,5h+,Ne,Utice pozitivno,Da,Da
35-44,Muski,Podgorica,Srednja skola,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Da,Da,Ne,1-3h,3-5h,Da,Utice negativno,Da,Da
18-24,Muski,Kotor,Master studije,Nezaposlen/a,Privatni,Ne idem na posao,900€+,Ne iznajmljujem,201-300€,300€+,Ne,Ne,manje od mjesec dana,Zadovoljan/a sam,Ne,Da,Da,Ne,Da,Ne,Ne,3-5h,3-5h,Ne,Utice pozitivno,Da,Da
18-24,Muski,Plav,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,5h+,5h+,Da,Ne utice na mene,Ne,Da
18-24,Zenski,Budva,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,900€+,Ne iznajmljujem,201-300€,300€+,Ne,Ne,1-2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Ne,Ne,Ne,1-3h,1-3h,Da,Utice negativno,Ne,Da
25-34,Zenski,Budva,Fakultet (BSc),"Zaposlen/a, idem na posao",Drzavni,Ne,301-600€,"Da, od 0-100€",201-300€,300€+,Ne,Ne,vise od 2 mjeseca,Neutralan/na,Ne,Da,Da,Da,Da,Da,Ne,3-5h,5h+,Ne,Utice pozitivno,Da,Da
